,Age,Hours_per_week,Workclass_cat_new,Education_cat_new,Marital_Status_cat_new,Occupation_cat,Race_cat,Sex_cat,Income
3959,37,40,1,1,2,6,4,1,<=50K
3960,31,40,2,6,1,2,4,1,>50K
3961,76,12,2,4,3,11,2,0,<=50K
3962,54,60,2,1,0,11,2,0,<=50K
3963,32,40,1,1,2,9,4,1,>50K
3964,31,52,2,1,1,0,4,0,<=50K
3965,31,50,1,1,0,10,4,1,>50K
3966,65,40,0,0,0,9,4,1,<=50K
3967,21,10,2,1,1,9,4,0,<=50K
3968,26,40,1,1,1,2,4,0,<=50K
3969,18,8,2,4,1,7,4,0,<=50K
3970,34,50,1,6,2,7,4,1,<=50K
3971,44,60,0,1,1,4,4,1,<=50K
3972,30,40,2,7,1,12,4,0,<=50K
3973,36,40,0,1,1,2,4,1,<=50K
3974,31,50,2,1,2,9,4,1,>50K
3975,22,20,2,1,1,11,4,1,<=50K
3976,23,40,2,6,1,11,1,1,<=50K
3977,49,50,2,3,2,3,4,1,>50K
3978,39,35,0,1,4,2,4,1,<=50K
3979,19,16,2,1,1,5,4,1,<=50K
3980,30,50,2,7,2,3,4,1,>50K
3981,46,40,2,6,2,6,4,1,<=50K
3982,37,45,2,3,2,9,4,1,<=50K
3983,41,40,1,6,2,7,4,1,<=50K
3984,40,20,0,1,2,9,4,1,<=50K
3985,44,40,2,6,0,0,4,0,<=50K
3986,32,40,2,6,2,6,4,1,<=50K
3987,58,20,2,6,2,5,2,1,>50K
3988,48,48,2,6,2,6,4,1,<=50K
3989,34,40,2,1,2,3,4,1,<=50K
3990,29,40,2,7,1,0,2,0,<=50K
3991,46,50,0,1,2,11,4,1,>50K
3992,36,40,1,6,1,13,1,1,<=50K
3993,59,38,1,1,1,0,4,1,<=50K
3994,25,40,2,6,2,6,4,1,<=50K
3995,48,70,2,6,2,4,4,1,<=50K
3996,51,70,1,2,1,9,4,0,>50K
3997,36,45,2,6,0,13,4,1,>50K
3998,49,40,1,1,2,0,4,1,>50K
3999,33,20,2,1,1,12,4,1,<=50K
4000,40,60,2,1,0,11,4,1,>50K
4001,26,40,2,1,1,9,4,0,<=50K
4002,30,40,2,6,1,0,4,0,<=50K
4003,31,35,1,7,2,0,4,0,<=50K
4004,30,50,2,1,2,3,4,1,>50K
4005,27,40,2,1,1,3,4,0,<=50K
4006,56,40,2,7,0,0,4,0,<=50K
4007,24,40,2,6,2,6,4,1,<=50K
4008,47,50,2,1,0,11,4,0,<=50K
4009,51,35,2,1,1,9,2,1,<=50K
4010,34,45,2,6,2,2,4,1,<=50K
4011,47,9,2,6,0,7,2,1,<=50K
4012,47,44,2,1,2,0,4,1,>50K
4013,31,40,2,4,0,7,4,0,<=50K
4014,42,32,2,7,0,7,4,0,<=50K
4015,56,40,2,6,3,0,4,0,<=50K
4016,53,40,2,6,2,2,4,1,>50K
4017,26,50,2,1,2,11,4,1,>50K
4018,81,20,2,1,0,0,4,0,<=50K
4019,57,48,1,1,0,9,4,1,>50K
4020,34,40,2,6,1,0,4,0,<=50K
4021,24,40,2,7,1,12,2,0,<=50K
4022,20,40,2,6,1,7,4,1,<=50K
4023,68,40,1,1,0,0,2,0,<=50K
4024,60,32,2,6,4,11,4,0,<=50K
4025,37,40,1,1,2,2,4,1,<=50K
4026,25,40,2,5,1,5,4,1,<=50K
4027,36,40,1,6,2,0,4,1,<=50K
4028,45,40,2,7,2,2,4,1,<=50K
4029,34,60,2,1,2,3,4,1,>50K
4030,31,70,2,1,4,3,4,0,<=50K
4031,47,60,0,1,2,4,4,1,<=50K
4032,60,42,0,6,2,2,4,1,>50K
4033,75,24,2,1,2,3,4,1,<=50K
4034,43,40,1,1,2,10,4,1,<=50K
4035,18,40,2,6,1,5,4,1,<=50K
4036,20,40,2,6,1,0,4,0,<=50K
4037,32,50,2,6,1,11,4,0,<=50K
4038,57,20,0,1,2,3,4,1,<=50K
4039,43,60,2,1,2,13,4,1,>50K
4040,18,40,0,6,1,4,4,1,<=50K
4041,41,40,1,1,4,9,2,0,<=50K
4042,35,90,2,6,2,13,4,1,>50K
4043,41,40,1,7,2,3,4,1,<=50K
4044,23,20,2,6,1,2,2,0,<=50K
4045,32,45,1,1,2,10,4,1,>50K
4046,58,40,2,6,2,6,4,1,<=50K
4047,22,65,2,1,1,11,4,1,<=50K
4048,33,50,2,1,0,7,4,0,<=50K
4049,42,38,0,0,2,9,4,1,>50K
4050,25,40,2,6,1,0,4,0,<=50K
4051,39,50,2,6,2,9,4,1,>50K
4052,35,45,2,1,2,11,4,1,>50K
4053,50,38,2,1,2,0,4,0,>50K
4054,49,50,1,3,2,3,4,1,>50K
4055,25,40,1,1,1,9,4,1,<=50K
4056,47,40,1,1,0,0,2,0,<=50K
4057,46,40,2,1,2,3,4,0,>50K
4058,42,40,1,7,0,9,2,1,<=50K
4059,37,60,2,4,1,13,4,1,>50K
4060,29,40,2,4,2,2,4,1,<=50K
4061,26,45,2,1,1,11,4,1,<=50K
4062,45,40,0,1,2,3,4,1,>50K
4063,34,30,2,6,4,3,4,0,<=50K
4064,33,40,1,7,1,0,2,0,<=50K
4065,43,40,2,1,2,3,4,1,>50K
4066,28,45,2,6,2,2,4,1,<=50K
4067,51,75,0,1,2,4,4,1,<=50K
4068,21,35,2,1,1,7,4,0,<=50K
4069,23,35,2,7,1,7,4,0,<=50K
4070,30,40,2,6,1,12,4,0,<=50K
4071,46,45,2,3,2,3,4,1,>50K
4072,38,50,0,6,1,4,4,1,<=50K
4073,20,40,2,6,1,11,4,1,<=50K
4074,36,50,2,1,2,9,4,1,>50K
4075,37,50,0,0,2,9,4,1,>50K
4076,44,42,1,3,1,9,4,1,<=50K
4077,33,40,2,6,2,2,4,1,>50K
4078,45,40,1,1,1,3,4,1,<=50K
4079,47,40,2,1,2,2,4,1,<=50K
4080,54,40,2,6,2,2,1,1,>50K
4081,17,30,2,4,1,7,4,1,<=50K
4082,45,50,2,1,3,9,4,0,>50K
4083,37,40,2,1,1,0,4,0,<=50K
4084,44,40,1,7,2,2,4,1,>50K
4085,55,50,1,3,3,9,4,0,<=50K
4086,41,48,2,6,2,6,4,1,<=50K
4087,23,40,2,1,1,0,4,0,<=50K
4088,38,40,2,1,1,0,2,0,<=50K
4089,35,40,2,6,2,2,4,1,>50K
4090,18,20,2,4,1,3,4,1,<=50K
4091,47,40,2,7,2,7,4,1,<=50K
4092,25,8,2,1,1,9,4,0,<=50K
4093,41,50,0,6,2,3,4,1,<=50K
4094,41,40,2,6,2,0,4,0,<=50K
4095,26,50,2,1,2,3,4,1,<=50K
4096,30,40,1,1,1,0,4,1,<=50K
4097,42,40,2,1,2,11,4,1,>50K
4098,35,40,2,6,0,3,4,0,<=50K
4099,29,40,2,1,4,12,4,0,<=50K
4100,21,15,2,1,4,0,4,0,<=50K
4101,48,40,1,3,0,9,4,1,>50K
4102,44,60,0,6,0,13,4,1,<=50K
4103,34,40,1,4,1,7,4,1,<=50K
4104,19,25,2,6,1,7,4,0,<=50K
4105,32,40,2,1,0,2,4,1,>50K
4106,31,40,1,7,4,7,2,0,<=50K
4107,25,40,2,6,2,5,4,1,<=50K
4108,47,40,1,6,2,0,2,1,>50K
4109,46,40,1,4,3,0,4,0,<=50K
4110,18,40,2,4,1,0,4,1,<=50K
4111,31,20,2,1,2,0,4,0,<=50K
4112,28,40,1,6,2,0,4,0,<=50K
4113,38,48,2,6,2,6,4,1,>50K
4114,33,40,0,6,2,2,4,1,>50K
4115,41,40,2,7,2,3,4,1,>50K
4116,46,40,2,1,2,11,4,1,>50K
4117,38,44,1,1,2,9,4,1,<=50K
4118,24,60,2,1,1,11,4,1,<=50K
4119,49,40,2,6,2,6,4,1,>50K
4120,60,40,1,1,0,9,0,0,<=50K
4121,44,60,2,1,2,11,4,1,>50K
4122,63,40,0,7,2,3,4,1,>50K
4123,40,60,2,6,2,11,4,1,>50K
4124,45,50,0,1,2,3,4,1,>50K
4125,49,50,2,1,2,0,4,1,>50K
4126,36,40,2,6,0,11,4,0,<=50K
4127,65,8,1,6,2,7,4,1,<=50K
4128,41,20,2,1,3,3,4,1,<=50K
4129,25,40,2,3,4,7,4,0,<=50K
4130,60,40,2,7,3,0,4,1,<=50K
4131,28,16,2,7,2,3,4,0,>50K
4132,31,50,2,7,1,2,3,1,<=50K
4133,47,35,2,3,1,9,4,0,<=50K
4134,45,45,0,1,2,13,4,1,<=50K
4135,51,40,2,1,1,9,4,1,<=50K
4136,23,40,2,6,1,6,2,1,<=50K
4137,44,60,0,3,2,3,4,0,>50K
4138,34,50,2,6,1,3,4,1,<=50K
4139,19,10,2,1,1,9,4,1,<=50K
4140,46,40,1,6,2,13,4,1,<=50K
4141,56,45,2,0,2,9,4,1,>50K
4142,29,45,2,6,2,0,4,1,<=50K
4143,46,50,0,3,2,2,4,1,>50K
4144,55,40,2,6,2,2,4,1,<=50K
4145,45,48,2,1,0,11,4,1,>50K
4146,41,40,2,1,1,0,4,1,<=50K
4147,34,50,2,0,2,9,4,1,>50K
4148,27,40,2,6,1,2,2,1,<=50K
4149,29,37,2,1,1,5,2,1,<=50K
4150,19,30,1,4,1,7,4,0,<=50K
4151,47,40,1,1,2,9,4,1,<=50K
4152,43,50,0,1,2,3,4,1,>50K
4153,52,60,2,7,4,3,2,0,<=50K
4154,33,60,0,7,0,11,4,1,<=50K
4155,29,40,2,4,2,13,4,1,<=50K
4156,23,40,2,6,2,5,4,1,<=50K
4157,23,40,2,1,1,3,4,1,<=50K
4158,39,60,2,1,2,3,4,1,<=50K
4159,31,40,2,6,2,2,4,1,>50K
4160,47,40,0,6,2,2,4,1,>50K
4161,26,60,2,6,1,0,4,1,<=50K
4162,58,55,1,1,1,9,4,0,<=50K
4163,47,50,0,0,0,9,4,1,>50K
4164,55,38,2,1,1,12,4,0,<=50K
4165,26,40,2,6,2,3,4,0,<=50K
4166,28,40,2,6,1,6,4,0,<=50K
4167,36,40,2,6,2,2,2,1,<=50K
4168,40,50,2,6,2,11,4,1,<=50K
4169,19,40,2,4,1,7,4,1,<=50K
4170,63,40,0,1,2,11,4,1,>50K
4171,42,40,2,1,2,13,4,1,<=50K
4172,76,13,2,4,2,10,4,1,<=50K
4173,23,40,1,7,1,12,4,0,<=50K
4174,38,40,0,5,1,13,4,1,<=50K
4175,48,40,1,3,2,9,4,1,>50K
4176,56,40,2,1,0,13,4,1,>50K
4177,32,40,2,6,2,6,2,1,<=50K
4178,44,25,1,1,0,9,4,0,<=50K
4179,27,40,2,6,0,0,2,0,<=50K
4180,33,50,1,1,1,3,4,1,<=50K
4181,44,40,2,6,2,2,4,1,<=50K
4182,42,60,2,6,2,13,0,1,<=50K
4183,34,40,2,1,1,0,4,0,<=50K
4184,45,40,1,6,2,0,4,1,<=50K
4185,59,40,1,1,2,9,4,1,>50K
4186,33,40,1,1,2,3,2,0,>50K
4187,17,15,2,4,1,11,4,0,<=50K
4188,63,30,0,1,2,11,4,1,>50K
4189,20,24,2,1,1,5,4,1,<=50K
4190,42,50,0,0,2,9,4,1,>50K
4191,50,50,0,6,2,4,4,1,<=50K
4192,55,30,2,6,2,8,4,0,<=50K
4193,27,25,2,7,2,0,2,0,<=50K
4194,28,45,2,1,2,3,4,1,<=50K
4195,55,45,2,7,2,6,4,1,<=50K
4196,44,40,1,1,2,2,4,1,<=50K
4197,53,40,1,1,1,10,4,0,<=50K
4198,23,40,2,6,2,2,4,1,<=50K
4199,25,40,2,6,0,0,4,0,<=50K
4200,44,40,1,1,0,9,4,0,<=50K
4201,55,40,2,3,2,3,4,1,>50K
4202,48,35,0,1,2,9,4,1,>50K
4203,46,40,2,6,2,2,4,1,<=50K
4204,26,40,2,1,1,13,4,1,<=50K
4205,32,40,2,3,2,9,4,1,>50K
4206,52,48,2,6,2,3,4,1,<=50K
4207,52,50,2,6,2,11,4,1,>50K
4208,39,47,2,6,4,11,4,0,<=50K
4209,57,40,1,1,2,9,4,1,>50K
4210,21,40,2,6,1,2,4,1,<=50K
4211,22,10,1,1,1,7,4,1,<=50K
4212,26,40,2,1,2,6,4,1,<=50K
4213,26,40,1,1,2,7,4,1,<=50K
4214,44,40,2,7,2,3,2,1,>50K
4215,42,30,2,1,0,0,4,0,<=50K
4216,40,43,2,1,2,13,4,1,<=50K
4217,22,45,2,4,1,2,4,1,<=50K
4218,62,45,2,6,2,2,4,1,>50K
4219,44,40,2,1,2,2,4,1,<=50K
4220,45,50,2,6,2,3,4,1,<=50K
4221,18,40,2,4,2,5,4,1,<=50K
4222,32,40,1,1,1,2,4,1,<=50K
4223,33,60,2,2,1,9,4,0,>50K
4224,20,15,2,1,1,9,4,1,<=50K
4225,68,20,0,6,2,4,4,1,<=50K
4226,61,50,2,5,2,11,4,1,>50K
4227,48,40,2,2,2,9,4,1,>50K
4228,45,40,2,6,2,11,4,1,<=50K
4229,36,40,0,6,2,11,4,0,>50K
4230,32,32,1,6,1,7,2,0,<=50K
4231,35,40,2,1,0,7,4,0,<=50K
4232,39,40,2,6,2,2,4,1,<=50K
4233,53,40,2,5,2,6,4,1,<=50K
4234,30,16,2,1,4,11,2,0,<=50K
4235,40,45,2,1,0,10,4,1,<=50K
4236,41,60,2,6,1,11,2,0,<=50K
4237,52,98,0,6,2,4,4,1,>50K
4238,33,40,2,6,2,2,4,1,<=50K
4239,28,40,2,6,1,2,4,1,<=50K
4240,25,40,0,6,2,2,4,1,>50K
4241,53,55,2,1,2,11,4,1,<=50K
4242,44,10,2,5,1,7,4,1,<=50K
4243,35,40,2,6,0,3,4,0,<=50K
4244,34,40,2,6,2,6,4,1,<=50K
4245,33,40,2,6,0,6,4,0,<=50K
4246,24,45,1,1,2,0,4,0,<=50K
4247,65,25,1,6,3,7,2,0,<=50K
4248,29,60,2,7,2,11,4,1,<=50K
4249,39,65,0,0,2,9,4,1,>50K
4250,46,40,1,1,2,10,4,1,>50K
4251,37,60,2,5,2,4,4,1,<=50K
4252,47,47,1,3,2,3,4,1,>50K
4253,62,40,2,1,2,7,4,1,<=50K
4254,54,60,0,6,2,11,4,1,<=50K
4255,90,35,2,1,1,7,1,1,<=50K
4256,33,20,2,7,4,2,4,1,<=50K
4257,57,45,2,1,2,3,4,1,<=50K
4258,25,40,2,7,1,2,4,1,<=50K
4259,44,50,0,1,2,11,4,1,>50K
4260,52,50,2,1,4,7,4,1,<=50K
4261,21,40,2,1,1,6,4,1,<=50K
4262,31,18,2,6,1,7,2,1,<=50K
4263,59,40,1,6,3,6,4,0,<=50K
4264,29,55,0,6,2,3,4,1,<=50K
4265,49,45,2,5,1,9,2,1,<=50K
4266,34,40,2,4,2,2,4,1,<=50K
4267,22,40,2,1,1,11,4,1,<=50K
4268,39,40,1,6,0,7,2,0,<=50K
4269,46,60,2,3,2,9,4,1,<=50K
4270,50,40,2,6,2,2,4,1,>50K
4271,34,40,2,6,1,7,4,1,<=50K
4272,28,55,1,3,2,9,4,0,<=50K
4273,18,24,2,4,1,11,4,0,<=50K
4274,20,30,2,6,1,11,4,1,<=50K
4275,20,40,2,6,1,6,4,0,<=50K
4276,55,38,1,7,3,3,0,0,<=50K
4277,22,40,2,1,1,11,2,0,<=50K
4278,60,40,0,3,2,3,4,1,<=50K
4279,40,50,2,4,0,2,4,1,<=50K
4280,47,30,1,1,2,0,4,0,<=50K
4281,57,40,1,6,3,13,4,0,<=50K
4282,52,40,2,4,2,7,4,1,<=50K
4283,42,40,2,5,3,2,4,1,<=50K
4284,25,20,2,7,1,5,4,1,<=50K
4285,49,40,0,6,2,0,4,0,>50K
4286,41,40,1,1,1,10,4,1,<=50K
4287,40,30,1,7,2,7,2,1,<=50K
4288,38,55,2,1,2,3,4,1,>50K
4289,26,35,2,1,1,7,2,0,<=50K
4290,28,60,2,6,2,11,4,1,<=50K
4291,42,40,2,6,4,11,4,0,<=50K
4292,28,55,2,1,1,3,4,1,<=50K
4293,39,40,0,4,2,2,4,1,<=50K
4294,28,40,2,6,2,6,2,1,<=50K
4295,42,48,2,6,2,6,4,1,>50K
4296,51,50,0,1,0,11,4,0,<=50K
4297,27,39,2,1,1,0,4,0,<=50K
4298,41,43,2,6,0,0,4,0,<=50K
4299,28,40,2,1,2,2,4,1,<=50K
4300,54,30,0,1,0,4,4,0,>50K
4301,49,30,2,6,2,0,4,0,<=50K
4302,47,40,2,3,2,3,4,1,>50K
4303,27,49,2,1,2,2,4,1,<=50K
4304,42,45,1,1,2,9,4,0,>50K
4305,32,40,2,6,2,0,2,0,<=50K
4306,32,41,1,6,2,7,4,1,<=50K
4307,27,40,2,3,1,11,4,1,<=50K
4308,29,40,2,6,2,2,4,1,>50K
4309,22,30,2,7,1,9,4,1,<=50K
4310,41,40,1,6,2,0,4,1,>50K
4311,49,40,1,1,2,5,4,1,>50K
4312,58,50,0,6,2,4,4,1,<=50K
4313,41,40,0,6,2,4,4,1,>50K
4314,26,35,2,4,2,2,4,1,<=50K
4315,21,55,2,6,1,11,4,1,<=50K
4316,37,50,2,1,2,3,4,1,>50K
4317,23,20,2,1,1,11,4,1,<=50K
4318,42,40,0,1,2,3,4,1,>50K
4319,25,26,2,6,2,11,4,1,>50K
4320,67,40,2,1,0,0,4,0,<=50K
4321,41,38,1,6,0,13,2,0,<=50K
4322,49,50,1,3,2,9,4,0,>50K
4323,18,35,2,4,1,2,4,1,<=50K
4324,25,40,2,5,2,5,4,1,<=50K
4325,43,50,1,0,0,9,4,1,<=50K
4326,38,36,2,2,2,3,4,0,>50K
4327,65,15,0,1,2,11,4,1,<=50K
4328,66,35,2,7,3,9,4,0,<=50K
4329,33,60,2,4,1,13,2,1,<=50K
4330,51,38,2,6,2,0,2,0,<=50K
4331,27,40,0,6,2,2,4,1,<=50K
4332,17,16,2,4,1,7,4,0,<=50K
4333,32,45,2,1,2,3,4,1,>50K
4334,43,40,1,1,0,0,4,0,<=50K
4335,63,35,2,1,2,11,4,1,<=50K
4336,42,40,2,7,0,0,4,0,<=50K
4337,43,40,1,1,1,3,4,1,>50K
4338,41,45,1,0,2,9,4,1,>50K
4339,17,20,2,4,1,9,4,1,<=50K
4340,30,40,0,6,1,2,4,1,<=50K
4341,22,25,2,1,1,7,4,1,<=50K
4342,28,52,2,6,1,7,2,0,<=50K
4343,24,40,2,1,1,11,2,0,<=50K
4344,47,40,2,4,2,6,4,1,>50K
4345,34,50,0,7,1,4,4,1,<=50K
4346,26,20,2,1,1,11,4,0,<=50K
4347,25,75,2,7,2,3,4,1,<=50K
4348,28,45,2,1,1,11,4,1,<=50K
4349,36,40,2,6,1,2,4,0,<=50K
4350,24,40,2,1,1,3,4,1,<=50K
4351,44,50,2,1,2,9,4,1,>50K
4352,18,12,2,4,1,0,4,1,<=50K
4353,54,40,1,1,2,9,4,1,>50K
4354,61,40,2,1,0,0,4,0,<=50K
4355,51,45,2,1,2,3,4,1,>50K
4356,43,40,2,5,2,6,4,1,<=50K
4357,51,40,2,6,2,2,4,1,<=50K
4358,50,40,1,6,2,3,2,0,>50K
4359,24,30,2,1,2,5,4,1,<=50K
4360,20,20,1,1,2,7,4,1,<=50K
4361,52,40,2,1,0,3,4,1,>50K
4362,57,40,1,5,0,7,4,1,<=50K
4363,49,60,0,1,2,11,4,1,<=50K
4364,22,40,2,4,1,11,4,0,<=50K
4365,38,40,2,1,2,12,4,1,>50K
4366,21,20,2,1,1,11,4,0,<=50K
4367,39,60,1,1,2,10,4,1,>50K
4368,52,35,0,1,1,9,4,0,<=50K
4369,25,40,2,7,1,12,4,0,<=50K
4370,35,80,1,1,2,3,4,1,<=50K
4371,50,40,2,7,4,9,4,0,<=50K
4372,58,25,2,6,2,2,4,1,<=50K
4373,48,45,1,1,0,3,4,1,<=50K
4374,18,12,2,4,1,5,4,1,<=50K
4375,29,40,0,6,2,2,4,1,<=50K
4376,52,45,0,1,2,11,4,1,<=50K
4377,63,40,2,6,2,11,4,1,<=50K
4378,36,40,1,3,2,9,4,0,>50K
4379,24,42,2,1,1,6,4,0,<=50K
4380,30,40,1,7,1,10,2,1,<=50K
4381,21,20,2,1,1,7,4,0,<=50K
4382,20,40,2,6,1,0,4,1,<=50K
4383,21,15,2,1,1,0,4,0,<=50K
4384,27,40,2,6,1,2,4,1,<=50K
4385,42,40,2,1,0,12,4,0,<=50K
4386,21,30,2,1,1,7,4,0,<=50K
4387,51,40,2,1,2,11,4,1,>50K
4388,27,40,1,1,1,0,4,0,<=50K
4389,23,40,0,6,1,13,4,1,<=50K
4390,57,40,2,1,2,11,4,1,>50K
4391,22,12,1,1,1,9,4,0,<=50K
4392,59,60,2,4,2,13,4,1,>50K
4393,38,40,2,6,0,13,4,1,<=50K
4394,20,40,2,6,1,13,4,1,<=50K
4395,90,40,2,4,1,0,4,0,<=50K
4396,35,40,2,7,2,11,4,1,<=50K
4397,50,38,2,6,2,10,4,1,>50K
4398,45,50,2,2,2,9,4,1,>50K
4399,44,50,2,3,2,3,4,1,>50K
4400,23,40,2,7,1,9,4,1,<=50K
4401,23,43,0,1,0,11,4,0,<=50K
4402,39,40,1,1,2,10,4,1,<=50K
4403,19,55,2,1,1,5,4,1,<=50K
4404,54,40,2,1,2,3,4,1,>50K
4405,40,43,2,3,0,9,4,1,<=50K
4406,44,50,2,1,1,11,4,1,<=50K
4407,31,20,0,1,2,0,4,0,>50K
4408,33,32,2,1,2,3,4,0,>50K
4409,32,60,2,6,1,13,4,1,<=50K
4410,36,40,2,4,2,6,4,1,<=50K
4411,47,55,0,1,2,9,3,1,>50K
4412,80,10,2,3,3,9,4,0,<=50K
4413,21,8,2,1,1,11,4,0,<=50K
4414,35,60,0,1,2,4,4,1,<=50K
4415,30,40,2,6,2,13,4,1,<=50K
4416,49,40,2,5,2,5,4,1,<=50K
4417,33,25,2,6,2,0,4,0,<=50K
4418,53,45,0,1,2,4,4,1,<=50K
4419,41,55,2,6,0,5,4,1,<=50K
4420,19,40,2,1,1,7,4,0,<=50K
4421,28,45,2,1,1,3,4,0,<=50K
4422,42,60,1,3,0,0,4,1,<=50K
4423,29,55,0,1,2,4,4,1,<=50K
4424,26,20,2,1,1,7,4,1,<=50K
4425,40,40,2,1,0,3,4,0,<=50K
4426,36,40,0,2,1,9,4,1,>50K
4427,28,40,2,6,2,3,4,1,<=50K
4428,25,20,0,1,1,0,2,0,<=50K
4429,42,60,0,6,2,4,4,1,<=50K
4430,32,40,2,6,1,2,4,1,<=50K
4431,32,30,2,7,1,0,4,1,<=50K
4432,37,40,2,5,2,2,4,1,<=50K
4433,39,56,1,6,2,10,4,1,<=50K
4434,49,40,2,1,2,2,4,1,<=50K
4435,19,40,2,6,1,11,4,0,<=50K
4436,31,40,2,6,2,13,4,1,<=50K
4437,40,40,2,6,0,6,4,0,<=50K
4438,59,48,2,6,2,4,4,1,<=50K
4439,52,40,2,7,2,10,4,1,>50K
4440,27,40,2,1,1,3,4,1,<=50K
4441,45,45,1,1,2,9,4,1,>50K
4442,23,25,2,6,1,5,4,1,<=50K
4443,35,40,2,4,0,5,4,1,<=50K
4444,49,40,2,6,2,3,4,1,<=50K
4445,49,40,2,7,0,3,4,0,<=50K
4446,25,40,2,4,1,2,4,1,<=50K
4447,47,50,2,3,0,9,4,0,>50K
4448,28,40,2,7,0,0,4,0,<=50K
4449,20,30,2,1,1,3,4,0,<=50K
4450,19,24,2,6,1,6,4,1,<=50K
4451,28,40,2,6,2,6,4,1,<=50K
4452,31,40,2,1,0,0,2,0,<=50K
4453,30,53,2,7,2,5,4,1,<=50K
4454,23,40,2,1,1,7,4,1,<=50K
4455,25,30,2,1,2,3,4,0,>50K
4456,19,30,2,6,1,7,4,1,<=50K
4457,30,45,2,3,1,9,4,1,>50K
4458,26,35,2,6,1,2,4,1,<=50K
4459,34,45,1,6,2,13,4,1,<=50K
4460,49,40,2,1,0,3,2,0,<=50K
4461,35,40,2,1,2,5,4,1,<=50K
4462,38,40,2,6,1,11,4,0,<=50K
4463,36,20,2,6,2,5,2,1,<=50K
4464,33,48,2,6,2,9,0,1,>50K
4465,54,40,2,1,1,7,4,0,<=50K
4466,19,40,1,6,1,2,4,1,<=50K
4467,60,40,2,6,2,2,4,1,<=50K
4468,28,40,0,6,1,2,4,1,<=50K
4469,43,40,0,6,2,11,4,1,<=50K
4470,49,40,1,5,2,7,4,1,<=50K
4471,25,70,2,1,1,9,4,1,<=50K
4472,17,20,2,4,1,11,4,1,<=50K
4473,41,60,0,1,2,11,4,1,>50K
4474,30,35,2,1,2,13,2,1,<=50K
4475,90,60,1,3,2,3,4,1,>50K
4476,25,40,2,6,1,10,4,1,<=50K
4477,27,35,2,7,2,11,4,1,<=50K
4478,29,40,2,6,2,2,4,1,<=50K
4479,31,40,1,1,1,3,2,0,<=50K
4480,43,99,2,7,2,2,4,1,<=50K
4481,63,40,2,3,4,9,4,0,>50K
4482,46,40,2,5,2,13,4,1,<=50K
4483,59,40,2,6,2,11,4,1,<=50K
4484,42,50,2,1,2,3,2,0,>50K
4485,26,20,2,1,1,0,4,0,<=50K
4486,26,45,2,1,2,11,4,1,<=50K
4487,23,40,1,6,2,3,4,1,<=50K
4488,24,40,2,6,2,0,4,0,<=50K
4489,42,12,0,6,2,11,4,1,<=50K
4490,31,21,2,4,0,7,4,0,<=50K
4491,31,55,2,6,2,6,4,0,<=50K
4492,63,25,2,1,3,0,4,0,<=50K
4493,29,64,1,7,1,12,4,0,<=50K
4494,43,40,1,1,2,9,4,1,<=50K
4495,17,25,2,4,1,7,4,1,<=50K
4496,23,40,0,1,1,0,4,1,>50K
4497,35,45,2,4,0,2,4,1,<=50K
4498,32,28,2,6,0,7,3,0,<=50K
4499,50,60,0,1,2,3,4,1,>50K
4500,26,40,1,3,4,9,4,0,<=50K
4501,32,40,2,1,2,3,4,1,<=50K
4502,29,50,2,7,2,2,4,1,<=50K
4503,57,40,2,1,2,9,4,1,>50K
4504,90,50,2,3,1,3,2,1,>50K
4505,35,40,2,7,0,9,4,0,>50K
4506,31,60,0,1,2,11,2,1,>50K
4507,60,33,2,6,0,11,4,0,<=50K
4508,21,40,2,7,2,0,4,0,<=50K
4509,71,40,1,3,3,9,4,0,<=50K
4510,22,30,2,7,1,7,4,1,<=50K
4511,50,40,1,6,0,0,4,0,<=50K
4512,37,45,2,1,2,11,4,1,>50K
4513,74,30,2,6,2,7,4,1,<=50K
4514,67,70,2,1,2,11,4,1,<=50K
4515,59,43,2,1,2,2,4,1,>50K
4516,28,40,2,6,2,13,4,1,<=50K
4517,45,40,2,6,2,4,0,1,<=50K
4518,63,20,0,1,2,4,4,1,<=50K
4519,39,63,2,1,1,9,4,0,<=50K
4520,33,40,1,1,0,7,2,0,<=50K
4521,34,45,2,1,2,3,4,1,>50K
4522,39,40,2,6,1,5,4,1,<=50K
4523,29,36,1,3,2,0,4,1,<=50K
4524,22,40,2,6,2,6,4,1,<=50K
4525,53,43,2,1,0,11,4,0,>50K
4526,46,42,2,7,2,2,4,1,<=50K
4527,51,40,2,1,2,7,4,0,>50K
4528,44,99,2,0,0,9,4,0,<=50K
4529,56,40,1,6,0,0,4,0,<=50K
4530,27,40,2,1,1,0,2,0,<=50K
4531,39,40,2,1,1,9,4,1,>50K
4532,45,40,1,1,2,3,4,1,>50K
4533,37,45,2,1,2,2,4,1,<=50K
4534,33,40,2,6,0,0,4,1,<=50K
4535,35,50,2,4,2,2,4,0,<=50K
4536,33,50,2,6,2,3,2,1,<=50K
4537,48,40,2,1,2,11,4,1,<=50K
4538,32,50,2,6,0,6,4,1,<=50K
4539,20,32,2,1,1,7,4,0,<=50K
4540,35,60,2,6,1,13,1,1,<=50K
4541,19,25,2,6,1,5,4,0,<=50K
4542,56,40,2,4,4,6,4,0,<=50K
4543,45,40,2,6,0,2,4,0,<=50K
4544,32,45,2,7,2,0,4,0,<=50K
